pathway,cluster1,cluster2,pvalue,effect_size,adj_p
Olfactory transduction,0,1,1.1816455588883052e-25,0.009715722427311335,4.9536233036365625e-25
Ras signaling pathway,1,2,1.4139298925378566e-25,0.02360219502314838,5.901620421027575e-25
Phospholipase D signaling pathway,0,1,1.519174009430383e-25,0.02491849808735047,6.313450428801591e-25
Focal adhesion,0,1,1.9298008355020817e-25,0.0368077477600508,7.985382767594821e-25
Retinol metabolism,0,2,1.9658059093948343e-25,0.06346622010385225,8.099457824116055e-25
Huntington disease,0,2,2.7181085742537334e-25,-0.016462846972552125,1.115121466360506e-24
Rap1 signaling pathway,1,2,2.741480749854277e-25,0.025641026076529294,1.1199240510043005e-24
Breast cancer,0,1,3.2674530280938736e-25,0.02377964323881815,1.32913343515683e-24
Homologous recombination,0,1,3.446228488955998e-25,-0.04933824599016693,1.3900753568898142e-24
Endometrial cancer,0,2,3.4324870701258497e-25,0.02560895253625778,1.3900753568898142e-24
Serotonergic synapse,0,1,3.9053484195674866e-25,0.021604943651617723,1.5686755158095344e-24
Fc epsilon RI signaling pathway,0,2,4.0173985331065885e-25,0.027322952973267173,1.6069594132426354e-24
Rap1 signaling pathway,0,1,4.252427514989901e-25,0.024072701891326737,1.693913035016724e-24
TGF-beta signaling pathway,0,2,4.659341401645631e-25,0.04222813864156566,1.848333779165209e-24
Antigen processing and presentation,0,1,4.953076886992901e-25,-0.04198103903134581,1.9567711158490475e-24
Apoptosis,1,2,5.169904039979921e-25,0.02490436422390027,2.0340606058937395e-24
Glucagon signaling pathway,0,2,5.655130314774521e-25,0.02837058629476555,2.2158877968096085e-24
Salmonella infection,0,2,5.980326897191126e-25,0.01444459133882331,2.3337861062209274e-24
Antigen processing and presentation,1,2,6.331315828568801e-25,0.04762899884281441,2.460754330132004e-24
Insulin signaling pathway,0,2,6.361118078139871e-25,0.028844108705223054,2.462368288312208e-24
Chagas disease,0,2,7.1675131669899795e-25,0.03365459373773749,2.763378570405775e-24
Neuroactive ligand-receptor interaction,0,2,1.0689380430628738e-24,0.027498278226320727,4.104722085361435e-24
NF-kappa B signaling pathway,0,2,1.2077555767057885e-24,0.04290553132367124,4.619304197759191e-24
Cytosolic DNA-sensing pathway,0,1,1.2880225175240899e-24,-0.03901448609679928,4.906752447710819e-24
Proteasome,0,2,1.4266401434748377e-24,-0.03668602408514504,5.413338093817566e-24
Tryptophan metabolism,0,2,1.6727598793234277e-24,0.04272841860275453,6.322242063584609e-24
"Parathyroid hormone synthesis, secretion and action",0,1,2.101066282975443e-24,0.02574387604966699,7.90989659473108e-24
Primary immunodeficiency,1,2,2.3660384264784124e-24,0.12464101674797329,8.872644099294047e-24
Drug metabolism,0,1,2.394618440855278e-24,0.0374128341462347,8.944878222650066e-24
Long-term potentiation,0,2,2.7295397276031485e-24,0.0319926545285196,1.0156426893407065e-23
FoxO signaling pathway,0,1,2.887021804723529e-24,0.02318499332915555,1.0700930241446285e-23
Fc gamma R-mediated phagocytosis,0,2,3.9811783219037e-24,0.023474091403084235,1.4699735342413663e-23
Notch signaling pathway,0,1,8.014999234698964e-24,0.02798564125542205,2.9480456955214586e-23
Cocaine addiction,0,1,8.403220586235701e-24,0.02716593554636916,3.079042657552013e-23
Thyroid hormone signaling pathway,0,2,9.296877481947175e-24,0.028286228464767332,3.3935370276309076e-23
Ascorbate and aldarate metabolism,0,1,1.1779434475242652e-23,0.061930308370743925,4.283430718270055e-23
