pathway,cluster1,cluster2,pvalue,effect_size,adj_p,Pathway,Importance
Fluid shear stress and atherosclerosis,0,2,1.0576602487287701e-45,0.0428613474427737,4.615244721725542e-44,Fluid shear stress and atherosclerosis,0.0053886083605408
Fluid shear stress and atherosclerosis,1,2,6.839837578514414e-27,0.028003128163865,3.0683383529784284e-26,Fluid shear stress and atherosclerosis,0.0053886083605408
Fluid shear stress and atherosclerosis,0,1,1.0570095603063204e-11,0.0148582192789086,2.041708607432732e-11,Fluid shear stress and atherosclerosis,0.0053886083605408
Propanoate metabolism,0,1,2.384226090954164e-30,0.0613727606106843,1.3956445410463398e-29,Propanoate metabolism,0.0053259962102886
Propanoate metabolism,1,2,1.31640650604629e-10,-0.0275590952365852,2.425624272177425e-10,Propanoate metabolism,0.0053259962102886
Propanoate metabolism,0,2,1.1912712227899719e-09,0.0338136653740991,2.0717760396347334e-09,Propanoate metabolism,0.0053259962102886
Toll-like receptor signaling pathway,1,2,2.3531078611520987e-32,0.04535844951205,1.751150036206213e-31,Toll-like receptor signaling pathway,0.0052808707574024
Toll-like receptor signaling pathway,0,1,4.077425663048592e-17,-0.0285534829413872,1.0494178650205491e-16,Toll-like receptor signaling pathway,0.0052808707574024
Toll-like receptor signaling pathway,0,2,4.65293439362319e-07,0.0168049665706628,7.124110076360865e-07,Toll-like receptor signaling pathway,0.0052808707574024
Circadian entrainment,0,1,1.7455669370411277e-30,0.0304971463951801,1.0408349438257657e-29,Circadian entrainment,0.0051870361045391
Circadian entrainment,0,2,2.647796074636432e-27,0.0380747325053156,1.2162125510291744e-26,Circadian entrainment,0.0051870361045391
Phagosome,1,2,7.28492943734746e-37,0.0465169492381699,9.990760371219373e-36,Phagosome,0.0049920301499602
Phagosome,0,1,7.489253364421433e-17,-0.0273410043890844,1.897014044813872e-16,Phagosome,0.0049920301499602
Phagosome,0,2,1.0826842327425448e-07,0.0191759448490854,1.7066943570325828e-07,Phagosome,0.0049920301499602
Cytokine-cytokine receptor interaction,1,2,1.646991581047672e-36,0.0681858875505906,2.1659067367202264e-35,Cytokine-cytokine receptor interaction,0.0049455897195144
Cytokine-cytokine receptor interaction,0,2,3.1203345471751987e-32,0.0593345475786342,2.2693342161274173e-31,Cytokine-cytokine receptor interaction,0.0049455897195144
T cell receptor signaling pathway,1,2,2.217848282938284e-29,0.0490156217221702,1.1828524175670848e-28,T cell receptor signaling pathway,0.0048976938848684
T cell receptor signaling pathway,0,2,3.939773944286777e-19,0.0217018068427935,1.1091445708256028e-18,T cell receptor signaling pathway,0.0048976938848684
T cell receptor signaling pathway,0,1,3.8796551145166297e-13,-0.0273138148793767,8.114311350623017e-13,T cell receptor signaling pathway,0.0048976938848684
Retinol metabolism,0,1,3.0971535189796834e-34,0.0666342557093483,2.7277682368995376e-33,Retinol metabolism,0.0048442264701477
Retinol metabolism,0,2,1.9658059093948343e-25,0.0634662201038522,8.099457824116055e-25,Retinol metabolism,0.0048442264701477
DNA replication,0,2,9.167923899757573e-41,-0.0868271815422678,2.0002743054016528e-39,DNA replication,0.0047650717323316
DNA replication,0,1,1.20558022650074e-30,-0.0696594724239779,7.325044414181709e-30,DNA replication,0.0047650717323316
beta-Alanine metabolism,0,1,2.577003936471282e-32,0.0522738625035524,1.8884914343606344e-31,beta-Alanine metabolism,0.0046319333350845
beta-Alanine metabolism,0,2,1.024501152961266e-20,0.0434403611113307,3.1322328243401764e-20,beta-Alanine metabolism,0.0046319333350845
Coronavirus disease,1,2,6.544973546850797e-31,0.02701181431614,4.18878306998451e-30,Coronavirus disease,0.004570855543654
Coronavirus disease,0,2,1.5245162006884996e-17,0.020926669641088,4.042915891328618e-17,Coronavirus disease,0.004570855543654
Tyrosine metabolism,0,1,4.8690354304136555e-32,0.0896130419931039,3.488264188953066e-31,Tyrosine metabolism,0.0045642469548723
Tyrosine metabolism,0,2,4.917506859726119e-30,0.0882187966646332,2.810003919843497e-29,Tyrosine metabolism,0.0045642469548723
Aldosterone synthesis and secretion,0,1,4.16471891600872e-35,0.0360654873305965,4.121783669451928e-34,Aldosterone synthesis and secretion,0.0043069679579269
Aldosterone synthesis and secretion,0,2,5.2132740577239625e-34,0.0434322963423273,4.390125522293863e-33,Aldosterone synthesis and secretion,0.0043069679579269
Hematopoietic cell lineage,1,2,2.023806764527124e-35,0.0986105976930769,2.0668664829213174e-34,Hematopoietic cell lineage,0.0040608515582296
Hematopoietic cell lineage,0,2,4.371724717640595e-34,0.0767866939963243,3.74719261512051e-33,Hematopoietic cell lineage,0.0040608515582296
Hematopoietic cell lineage,0,1,0.000264695720037,-0.0218239036967525,0.000354899289435,Hematopoietic cell lineage,0.0040608515582296
Histidine metabolism,0,1,1.1292078417698026e-32,0.0604794492963478,8.742254258862985e-32,Histidine metabolism,0.0038837738766083
Histidine metabolism,0,2,1.5619087763774758e-17,0.0487760807177614,4.1306678383536546e-17,Histidine metabolism,0.0038837738766083
African trypanosomiasis,1,2,5.743275829326894e-32,0.0766950353498637,4.084107256410235e-31,African trypanosomiasis,0.003576223195698
African trypanosomiasis,0,2,3.9320545265706144e-21,0.071455049950559,1.2540771911986012e-20,African trypanosomiasis,0.003576223195698
Malaria,1,2,2.4887331371806147e-35,0.1014923788005362,2.514930328098305e-34,Malaria,0.0034742112545885
Malaria,0,2,4.230098929517262e-30,0.1128471493813084,2.446322272491911e-29,Malaria,0.0034742112545885
Systemic lupus erythematosus,0,1,4.123779220370287e-33,-0.0664339813730797,3.2717587202937817e-32,Systemic lupus erythematosus,0.0034616574332911
Systemic lupus erythematosus,0,2,2.570985068780625e-14,-0.0443018917179587,5.821098268937264e-14,Systemic lupus erythematosus,0.0034616574332911
Systemic lupus erythematosus,1,2,6.032994495803646e-05,0.0221320896551209,8.345352616673631e-05,Systemic lupus erythematosus,0.0034616574332911
AMPK signaling pathway,0,1,4.221829441433085e-36,0.0404241881577887,5.066195329719701e-35,AMPK signaling pathway,0.0034327086171575
AMPK signaling pathway,0,2,2.4167826997634702e-32,0.0398564952491367,1.7847010705945626e-31,AMPK signaling pathway,0.0034327086171575
Influenza A,1,2,6.059948129115927e-29,0.0423469914112494,3.127715163414673e-28,Influenza A,0.0034083595816574
Influenza A,0,1,6.0853722637314186e-21,-0.0304170040804645,1.896739406877325e-20,Influenza A,0.0034083595816574
Influenza A,0,2,9.126476234276148e-05,0.0119299873307848,0.0001255217361734,Influenza A,0.0034083595816574
Fatty acid biosynthesis,0,1,1.8358992704339186e-28,0.0492867623656403,9.22755654249509e-28,Fatty acid biosynthesis,0.0033731686211744
